Posição,Código IBGE,Município,UF,População
279º,1500602,Altamira,Pará,111435
280º,2100055,Açailândia,Maranhão,111339
281º,1508100,Tucuruí,Pará,110516
282º,3119401,Coronel Fabriciano,Minas Gerais,110326
283º,5215231,Novo Gama,Goiás,110096
284º,1505502,Paragominas,Pará,110026
285º,4128104,Umuarama,Paraná,109955
286º,5003207,Corumbá,Mato Grosso do Sul,109899
287º,3143906,Muriaé,Minas Gerais,108537
288º,2510808,Patos‎,Paraíba,107790
289º,4119509,Piraquara,Paraná,107751
290º,1100023,Ariquemes,Rondônia,107345
291º,2612505,Santa Cruz do Capibaribe,Pernambuco,105761
292º,5220454,Senador Canedo,Goiás,105459
293º,4103701,Cambé,Paraná,105347
294º,3134202,Ituiutaba,Minas Gerais,104526
295º,4218707,Tubarão,Santa Catarina,104457
296º,3104007,Araxá,Minas Gerais,104283
297º,2803500,Lagarto,Sergipe,104099
298º,4307005,Erechim,Rio Grande do Sul,103437
299º,2101202,Bacabal,Maranhão,103359
300º,2928703,Santo Antônio de Jesus,Bahia,103342
301º,1507953,Tailândia,Pará,103321
302º,3504008,Assis,São Paulo,102924
303º,2305506,Iguatu,Ceará,102614
304º,5211503,Itumbiara,Goiás,102513
305º,3536505,Paulínia,São Paulo,102499
306º,5205109,Catalão,Goiás,102393
307º,3138203,Lavras,Minas Gerais,102124
308º,2412005,São Gonçalo do Amarante,Rio Grande do Norte,101492
309º,3302270,Japeri,Rio de Janeiro,101237
310º,3526704,Leme,São Paulo,101184
311º,3302205,Itaperuna,Rio de Janeiro,99997
312º,3305208,São Pedro da Aldeia,Rio de Janeiro,99906
313º,1501808,Breves,Pará,99896
314º,1301902,Itacoatiara,Amazonas,99854
315º,2600054,Abreu e Lima,Pernambuco,99364
316º,4309308,Guaíba,Rio Grande do Sul,99334
317º,5107958,Tangará da Serra,Mato Grosso,98828
318º,2932903,Valença,Bahia,98749
319º,3522109,Itanhaém,São Paulo,98629
320º,1503606,Itaituba,Pará,98523
321º,3200607,Aracruz,Espírito Santo,98393
322º,3509007,Caieiras,São Paulo,98223
